Iter,Min Makespan
1.0,233.39999389648438
2.0,243.0
3.0,233.10000610351562
4.0,240.89999389648438
5.0,241.5
6.0,246.1999969482422
7.0,233.60000610351562
8.0,235.8000030517578
9.0,237.8000030517578
10.0,237.3000030517578
11.0,230.10000610351562
12.0,249.8000030517578
13.0,243.39999389648438
14.0,240.8000030517578
15.0,245.89999389648438
16.0,247.8000030517578
17.0,232.6999969482422
18.0,233.60000610351562
19.0,225.10000610351562
20.0,240.6999969482422
21.0,237.89999389648438
22.0,218.60000610351562
23.0,232.5
24.0,246.1999969482422
25.0,245.10000610351562
26.0,230.1999969482422
27.0,241.89999389648438
28.0,245.39999389648438
29.0,233.6999969482422
30.0,236.8000030517578
31.0,247.89999389648438
32.0,238.60000610351562
33.0,231.10000610351562
34.0,239.1999969482422
35.0,243.39999389648438
36.0,241.8000030517578
37.0,233.0
38.0,232.3000030517578
39.0,241.0
40.0,249.3000030517578
41.0,234.0
42.0,231.3000030517578
43.0,237.6999969482422
44.0,236.6999969482422
45.0,236.8000030517578
46.0,240.1999969482422
47.0,234.8000030517578
48.0,224.3000030517578
49.0,237.39999389648438
50.0,246.8000030517578
