Iter,Min Makespan
1.0,181.5
2.0,183.89999389648438
3.0,184.89999389648438
4.0,185.0
5.0,175.1999969482422
6.0,188.89999389648438
7.0,182.60000610351562
8.0,183.39999389648438
9.0,177.89999389648438
10.0,185.6999969482422
11.0,181.1999969482422
12.0,182.5
13.0,191.1999969482422
14.0,192.89999389648438
15.0,184.60000610351562
16.0,185.60000610351562
17.0,189.0
18.0,187.6999969482422
19.0,190.6999969482422
20.0,182.6999969482422
21.0,190.0
22.0,186.8000030517578
23.0,186.60000610351562
24.0,182.0
25.0,183.8000030517578
26.0,177.5
27.0,183.39999389648438
28.0,188.39999389648438
29.0,189.1999969482422
30.0,184.39999389648438
31.0,183.3000030517578
32.0,192.3000030517578
33.0,189.1999969482422
34.0,189.0
35.0,185.6999969482422
36.0,189.89999389648438
37.0,181.60000610351562
38.0,183.6999969482422
39.0,184.0
40.0,184.8000030517578
41.0,186.1999969482422
42.0,188.89999389648438
43.0,175.10000610351562
44.0,184.3000030517578
45.0,186.6999969482422
46.0,186.1999969482422
47.0,188.60000610351562
48.0,187.6999969482422
49.0,195.10000610351562
50.0,184.89999389648438
