Iter,Avg Makespan
10.0,240.60000610351562
20.0,179.60000610351562
30.0,222.0
40.0,196.1999969482422
50.0,213.39999389648438
60.0,195.10000610351562
70.0,188.5
80.0,176.60000610351562
90.0,176.39999389648438
100.0,195.5
110.0,216.5
120.0,186.60000610351562
130.0,181.1999969482422
140.0,180.0
150.0,177.89999389648438
160.0,191.6999969482422
170.0,181.8000030517578
180.0,177.89999389648438
190.0,188.1999969482422
200.0,183.39999389648438
210.0,174.3000030517578
220.0,180.3000030517578
230.0,169.8000030517578
240.0,173.8000030517578
250.0,172.3000030517578
260.0,175.60000610351562
270.0,180.60000610351562
280.0,181.5
290.0,171.6999969482422
300.0,177.3000030517578
310.0,174.10000610351562
320.0,170.1999969482422
330.0,171.0
340.0,176.89999389648438
350.0,169.89999389648438
360.0,174.5
370.0,178.0
380.0,173.60000610351562
390.0,177.3000030517578
400.0,181.5
410.0,175.60000610351562
420.0,175.5
430.0,168.6999969482422
440.0,169.39999389648438
450.0,172.0
460.0,172.6999969482422
470.0,168.5
480.0,169.3000030517578
490.0,173.1999969482422
500.0,170.3000030517578
510.0,170.60000610351562
520.0,171.5
530.0,174.3000030517578
540.0,171.3000030517578
550.0,174.10000610351562
560.0,176.60000610351562
570.0,174.8000030517578
580.0,180.1999969482422
590.0,176.8000030517578
600.0,174.10000610351562
610.0,179.8000030517578
620.0,174.5
630.0,175.8000030517578
640.0,175.60000610351562
650.0,174.0
660.0,172.5
670.0,176.39999389648438
680.0,173.39999389648438
690.0,172.60000610351562
700.0,172.39999389648438
710.0,170.5
720.0,173.6999969482422
730.0,169.60000610351562
740.0,169.8000030517578
750.0,173.39999389648438
760.0,169.39999389648438
770.0,173.6999969482422
780.0,173.10000610351562
790.0,174.5
800.0,171.5
