Iter,Avg Makespan
10.0,124.5
20.0,121.5999984741211
30.0,139.5
40.0,134.39999389648438
50.0,133.1999969482422
60.0,133.0
70.0,125.0
80.0,123.80000305175781
90.0,127.0
100.0,124.4000015258789
110.0,126.30000305175781
120.0,132.5
130.0,123.0
140.0,130.0
150.0,124.0999984741211
160.0,130.10000610351562
170.0,115.9000015258789
180.0,114.69999694824219
190.0,111.4000015258789
200.0,110.9000015258789
210.0,110.30000305175781
220.0,114.0999984741211
230.0,114.4000015258789
240.0,114.5
250.0,111.9000015258789
260.0,109.80000305175781
270.0,109.9000015258789
280.0,114.0999984741211
290.0,111.9000015258789
300.0,112.4000015258789
310.0,114.0999984741211
320.0,115.9000015258789
330.0,114.5999984741211
340.0,114.80000305175781
350.0,115.0999984741211
360.0,116.5
370.0,113.30000305175781
380.0,116.19999694824219
390.0,113.30000305175781
400.0,112.80000305175781
410.0,111.4000015258789
420.0,112.19999694824219
430.0,113.80000305175781
440.0,114.9000015258789
450.0,113.9000015258789
460.0,111.5
470.0,114.0
480.0,112.5
490.0,111.9000015258789
500.0,113.80000305175781
510.0,112.5999984741211
520.0,113.19999694824219
530.0,114.4000015258789
540.0,114.5
550.0,113.5
560.0,113.5
570.0,115.0999984741211
580.0,115.69999694824219
590.0,115.80000305175781
600.0,114.9000015258789
610.0,115.0
620.0,112.0999984741211
630.0,115.9000015258789
640.0,114.5999984741211
650.0,116.5
660.0,117.30000305175781
670.0,114.5
680.0,117.5
690.0,113.69999694824219
700.0,110.69999694824219
710.0,112.69999694824219
720.0,113.4000015258789
730.0,113.5999984741211
740.0,117.30000305175781
750.0,117.19999694824219
760.0,116.4000015258789
770.0,113.80000305175781
780.0,112.4000015258789
790.0,114.9000015258789
800.0,115.0999984741211
