Iter,Avg Makespan
10.0,235.10000610351562
20.0,234.39999389648438
30.0,218.5
40.0,217.39999389648438
50.0,218.6999969482422
60.0,225.39999389648438
70.0,222.39999389648438
80.0,218.89999389648438
90.0,191.5
100.0,189.3000030517578
110.0,188.8000030517578
120.0,184.8000030517578
130.0,183.5
140.0,178.10000610351562
150.0,176.5
160.0,175.1999969482422
170.0,173.39999389648438
180.0,181.1999969482422
190.0,174.0
200.0,175.8000030517578
210.0,186.60000610351562
220.0,182.10000610351562
230.0,172.39999389648438
240.0,173.5
250.0,177.39999389648438
260.0,168.6999969482422
270.0,167.5
280.0,173.3000030517578
290.0,171.39999389648438
300.0,169.6999969482422
310.0,169.60000610351562
320.0,171.8000030517578
330.0,171.60000610351562
340.0,173.3000030517578
350.0,168.89999389648438
360.0,169.5
370.0,170.6999969482422
380.0,172.0
390.0,171.10000610351562
400.0,172.89999389648438
410.0,171.39999389648438
420.0,169.3000030517578
430.0,170.6999969482422
440.0,170.1999969482422
450.0,171.5
460.0,172.10000610351562
470.0,171.60000610351562
480.0,168.8000030517578
490.0,168.5
500.0,173.39999389648438
510.0,170.6999969482422
520.0,172.60000610351562
530.0,170.10000610351562
540.0,168.6999969482422
550.0,170.89999389648438
560.0,169.60000610351562
570.0,170.39999389648438
580.0,173.6999969482422
590.0,171.1999969482422
600.0,173.0
610.0,169.1999969482422
620.0,168.0
630.0,167.3000030517578
640.0,170.10000610351562
650.0,166.6999969482422
660.0,171.60000610351562
670.0,166.5
680.0,168.10000610351562
690.0,168.3000030517578
700.0,168.89999389648438
710.0,165.60000610351562
720.0,169.6999969482422
730.0,168.5
740.0,173.10000610351562
750.0,170.8000030517578
760.0,171.60000610351562
770.0,174.5
780.0,172.6999969482422
790.0,171.39999389648438
800.0,172.8000030517578
810.0,171.8000030517578
820.0,174.1999969482422
830.0,169.60000610351562
840.0,167.5
850.0,170.89999389648438
860.0,169.1999969482422
870.0,170.6999969482422
880.0,171.5
890.0,171.89999389648438
900.0,167.60000610351562
910.0,172.89999389648438
920.0,172.60000610351562
930.0,172.10000610351562
940.0,173.39999389648438
950.0,169.3000030517578
960.0,170.1999969482422
970.0,168.3000030517578
980.0,171.1999969482422
990.0,171.5
1000.0,171.10000610351562
