Iter,Min Makespan
1.0,219.3000030517578
2.0,221.39999389648438
3.0,219.60000610351562
4.0,216.3000030517578
5.0,217.3000030517578
6.0,216.6999969482422
7.0,217.3000030517578
8.0,218.60000610351562
9.0,218.1999969482422
10.0,218.3000030517578
11.0,221.8000030517578
12.0,216.10000610351562
13.0,218.1999969482422
14.0,218.89999389648438
15.0,216.8000030517578
16.0,224.3000030517578
17.0,222.60000610351562
18.0,218.0
19.0,220.0
20.0,222.10000610351562
21.0,212.6999969482422
22.0,219.1999969482422
23.0,215.39999389648438
24.0,223.39999389648438
25.0,220.6999969482422
26.0,216.5
27.0,220.3000030517578
28.0,223.0
29.0,220.8000030517578
30.0,214.60000610351562
31.0,220.39999389648438
32.0,216.60000610351562
33.0,219.60000610351562
34.0,221.39999389648438
35.0,218.60000610351562
36.0,218.39999389648438
37.0,221.89999389648438
38.0,226.5
39.0,223.0
40.0,217.39999389648438
41.0,217.60000610351562
42.0,215.1999969482422
43.0,218.89999389648438
44.0,216.3000030517578
45.0,214.6999969482422
46.0,217.6999969482422
47.0,217.0
48.0,216.39999389648438
49.0,219.0
50.0,219.8000030517578
