Iter,Min Makespan
1.0,112.9000015258789
2.0,111.19999694824219
3.0,108.69999694824219
4.0,112.80000305175781
5.0,110.0
6.0,115.0999984741211
7.0,110.19999694824219
8.0,114.19999694824219
9.0,112.80000305175781
10.0,113.4000015258789
11.0,113.5999984741211
12.0,114.5
13.0,112.9000015258789
14.0,111.0
15.0,112.5
16.0,111.30000305175781
17.0,113.30000305175781
18.0,111.80000305175781
19.0,110.80000305175781
20.0,113.80000305175781
21.0,113.5
22.0,113.0999984741211
23.0,113.5
24.0,110.19999694824219
25.0,114.0
26.0,112.30000305175781
27.0,115.5
28.0,108.5999984741211
29.0,110.0999984741211
30.0,113.4000015258789
31.0,112.80000305175781
32.0,112.0999984741211
33.0,113.69999694824219
34.0,112.4000015258789
35.0,114.5
36.0,110.0999984741211
37.0,114.4000015258789
38.0,111.80000305175781
39.0,111.80000305175781
40.0,112.9000015258789
41.0,112.5999984741211
42.0,112.9000015258789
43.0,109.80000305175781
44.0,112.5999984741211
45.0,112.9000015258789
46.0,114.4000015258789
47.0,114.9000015258789
48.0,114.19999694824219
49.0,109.19999694824219
50.0,112.5
